"Enabled","Aktiv"
"Sandbox mode","Testmodus (Sandbox)"
"Title","Titel"
"Merchant ID","Verkäufer ID"
"Merchant license","Lizenzschlüssel"
"You can find this by logging in to the <a href=""https://client.billsafe.de/main/mainmenu"">BillSAFE payment backend</a>.","Sie können diesen nach dem Einloggen im <a href=""https://client.billsafe.de/main/mainmenu"" target=""_blank"">BillSAFE Händlerportal</a> abrufen."
"BillSAFE logo url","BillSAFE Zahlartenlogo URL"
"Is used to show on payment page during checkout.","Wird im Bestellprozess auf der Bezahlart-Seite angezeigt"
"Shop logo url","Händlerlogo URL"
"Is used to show on BillSAFE payment page during payment.","Wird auf der BillSAFE Bezahlseite angezeigt."
"Sort Order","Reihenfolge"
"Payed with BillSAFE.","Bezahlt mit BillSAFE."
"Recipient","Zahlungsempfänger"
"Bank code","Bankleitzahl"
"Account Number","Kontonummer"
"Bank Name","Name des Kreditinstituts"
"BIC","BIC"
"IBAN","IBAN"
"Reference","Verwendungszweck"
"Amount","Betrag"
"Currency Code","Währung"
"Note","Hinweis"
"Order is not invoiced, create invoice to request payment information at BillSAFE.","Bestellung ist noch nicht in Rechnung gestellt, erstellen Sie eine Rechnung, um die Bezahlinformationen bei BillSAFE anzufragen."
"Please refer to invoice for more detailed information.","Wählen Sie für genauere Zahlungsinformationen eine Rechnung aus"
"Billsafe payment has been cancelled","BillSAFE-Zahlung wurde abgebrochen"
"An error occured during payment process. Please try another payment method","Es ist ein Fehler während der Zahlung mit BillSAFE aufgetreten, bitte wählen Sie eine andere Zahlart"
"Enable logging","Fehlerprotokollierung"
"This enables logging of all requests and responses to billsafe api. For security reasons do not enable this in production mode!","Dies aktiviert das Loggen aller Anfragen und deren Antwort an die BillSAFE-API. Aus Sicherheitsgründen sollte es nicht im Live-Modus verwendet werden."
"Add adjustment fees is not supported by BillSAFE","Berichtigungszuschläge werden von BillSAFE nicht unterstützt"
"BillSAFE server is temporarily not available, please try again later","Der BillSAFE-Server ist kurzfristig nicht verfügbar, bitte versuchen Sie es später erneut."
"New order status","Status neuer Bestellungen"
"Successful BillSAFE payment.<br/>Transaction ID: %d.<br/>BillSAFE Transaction Status: ACCEPTED.","Erfolgreiche BillSAFE-Zahlung.<br/>Transaktions-ID: %d.<br/>BillSAFE-Transaktions-Status: Akzeptiert."
"Count of items to invoice does not match sent items count. Please change to items to be invoiced to match shipped items!","Die zu berechnenden Artikel stimmen nicht mit den versandten Artikeln überein. Bitte korrigieren Sie die Anzahlen entsprechend!"
"WARNING! All uninvoiced items will be canceled.","WARNUNG! Alle nicht in Rechnung gestellten Artikel werden storniert."
"WARNING! Count of items to invoice does not match sent items count. Please change to items to be invoiced to match shipped items!","WARNUNG! Die zu berechnenden Artikel stimmen nicht mit den versandten Artikeln überein. Bitte korrigieren Sie die Anzahlen entsprechend!"
"Minimal amount","Mindest-Bestellwert"
"Maximal amount","Maximal-Bestellwert"
"Minimal amount to enable BillSAFE payment","Der kleinstmögliche Bestellwert, bei dem eine BillSAFE Zahlung möglich ist"
"Maximal amount to enable BillSAFE payment","Der größtmögliche Bestellwert, bei dem eine BillSAFE Zahlung möglich ist"
"BillSAFE payment is not available for this order","Bezahlung via BillSAFE ist für diese Bestellung leider nicht möglich."
"Pay with our strong partner BillSAFE.","Kaufen Sie jetzt auf Rechnung und begutachten Sie Ihre Einkäufe in Ruhe bevor Sie bezahlen."
"Billsafe payment was cancelled.","BillSAFE-Zahlung wurde abgebrochen."
"Payment Fee","Zahlartenaufschlag"
"Payment Fee for BillSAFE payments","Der Zahlartenaufschlag für Zahlungen mit BillSAFE"
"Using BillSAFE will cause an additional payment Fee of %s.","Für die Verwendung des Rechnungskauf entstehen weitere Kosten in Höhe von %s."
"billsafe_forderung","Rechnungskauf mit BillSAFE"
"billsafe_forderung_rate","Ratenkauf in Kooperation mit BillSAFE"
"%s (%s%% of Total %s)","%s (%s%% von insgesamt %s)"
"%s %s (%s%% of Total %s)","%s %s (%s%% von insgesamt %s)"
"Maximum/Default fee exceeded the allowed maximum by BillSAFE of %s.","Der Maximal-/Standard-Wert für den Zahlartenaufschlag übersteigt den bei BillSAFE eingestellten Wert von %s."
"Maximum order amount exceeds the allowed maximum by BillSAFE of %s.","Der maximale Bestellwert übersteigt das bei BillSAFE eingestellte Maximum von %s."
"Disable payment method if fee exceeds maximum amount","Zahlungsart deaktivieren, wenn der maximale Zahlartenaufschlag überstiegen wird"
"Disable payment method if fee exceeds minimum amount","Zahlungsart deaktivieren, wenn der minimale Zahlartenaufschlag unterschritten wird"
"Payment Fee SKU","Produkt-SKU Zahlartenaufschlag"
"Maximum/Default Fee","Maximal-/Standard-Aufschlag"
"in default currency","in der Standardwährung"
"Minimal Fee","Minimaler Zahlartenaufschlag"
"Fee in percent","Prozentualer Zahlartenaufschlag"
"of subtotal incl. shipment. If this field is left empty, the Maximum/Default fee amount is used in every BillSAFE order.","Prozent vom Warenwert zzgl. Versand. Wird dieses Feld leer gelassen, so gilt der Maximal-/Standard-Aufschlag für jede Zahlung mit BillSAFE."
"product used for payment fee for BillSAFE payments","Das Produkt, was den Zahlartenaufschlag für Zahlungen mit BillSAFE repräsentiert."
"Payment Applicable From","BillSAFE aktivieren für"
"Countries Payment Applicable From","Länder, in denen BillSAFE zur Auswahl steht"
"Please enter your BillSAFE credentials.","Bitte geben Sie Ihre BillSAFE-Zugangsdaten ein."
"No connection to BillSAFE. Please check your credentials.","Verbindung zu BillSAFE ist fehlgeschlagen. Bitte prüfen Sie Ihre Zugangsdaten."
"Parameter postcode is too short","Bitte geben Sie eine gültige Postleitzahl ein."
"deliveryAddress must not differ from customer","Die Rechnungsadresse muss identisch zur Lieferanschrift sein."
